Premium,Price,Address,Beds,Baths,Sq_ft,Year_built,Price_index,Sq_ft_index,Year_built_index,Zipcode,Neighborhood,Fire_index,High_risk_index,Medium_risk_index,Low_risk_index
"$1,661.83","$2,499,000.00","188 Minna Street #32F, San Francisco,  CA 94105",2.0,2F11/2,1527.0,2005.0,0.1749347450045482,-0.0950986890814045,0.7511163864259922,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,294.29","$2,499,000.00","1575 32nd Avenue, San Francisco,  CA 94122",5.0,4,2615.0,1938.0,0.1749347450045482,0.7606994366506917,-0.7669770642690708,94122,Sunset/Parkside,0.2417474966113515,0.13,0.42,0.31
"$1,268.58","$2,500,000.00","260 Gold Mine Drive, San Francisco,  CA 94131",4.0,3,2597.0,1968.0,0.1753162194412084,0.7465410117764475,-0.087233728136953,94131,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,688.83","$2,550,000.00","401 Harrison Street #47C, San Francisco,  CA 94105",2.0,2,1589.0,2014.0,0.1943899412742169,-0.0463307811812299,0.9550393872656274,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,705.83","$2,575,000.00","488 Folsom Street #4405, San Francisco,  CA 94105",2.0,2F11/2,1652.0,2019.0,0.2039268021907211,0.0032237058786248,1.0683299432876472,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,289.29","$2,590,000.00","1839 17th Avenue, San Francisco,  CA 94122",4.0,4F11/2,2445.0,1940.0,0.2096489187406237,0.6269809795050517,-0.7216608418602629,94122,Sunset/Parkside,0.2417474966113515,0.13,0.42,0.31
"$1,588.83","$2,595,000.00","417 Mississippi Street, San Francisco,  CA 94107",3.0,2F11/2,2057.0,1953.0,0.2115562909239245,0.3217882655491203,-0.4271053962030119,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,155.94","$2,595,000.00","531 20th Avenue, San Francisco,  CA 94121",4.0,4F11/2,2300.0,1913.0,0.2115562909239245,0.5129270013514176,-1.333429844379169,94121,Outer Richmond,-0.1532819271992265,-0.26,-0.23,-0.05
"$1,238.82","$2,595,000.00","1500 Plymouth Avenue, San Francisco,  CA 94112",4.0,3F11/2,3185.0,1922.0,0.2115562909239245,1.209049557668426,-1.1295068435395337,94112,Excelsior,-0.0455466297963416,-0.34,-0.38,-0.35
"$1,209.32","$2,600,000.00","850 Powell Street #104, San Francisco,  CA 94108",4.0,4,2454.0,1923.0,0.2134636631072254,0.6340601919421739,-1.1068487323351297,94108,Chinatown,-0.0455466297963416,-0.09,-0.09,-0.02
"$1,187.30","$2,650,000.00","2145 Filbert Street, San Francisco,  CA 94123",4.0,2F11/2,1900.0,1929.0,0.2325373849402339,0.1982953374793233,-0.970900065108706,94123,Marina,0.1340121992084665,-0.23,0.1,-0.09
"$1,288.91","$2,650,000.00","1756 Leavenworth Street, San Francisco,  CA 94109",4.0,4,2921.0,1909.0,0.2325373849402339,1.001392659512844,-1.424062289196785,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,174.30","$2,695,000.00","1854 Vallejo Street #E, San Francisco,  CA 94123",2.0,2F11/2,1818.0,1925.0,0.2497037345899415,0.133795846385544,-1.0615325099263218,94123,Marina,0.1340121992084665,-0.23,0.1,-0.09
